These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
12004	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Ellis		Stephen	Conservative	Conservateur	22713	45.7	0	49651
12004	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Hirtle		Alana	Liberal	Libéral	23987	48.3	0	49651
12004	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Callaghan		Kelly-Ann	Green Party	Parti Vert	694	1.4	310	49840
12004	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Church		Paul	People's Party - PPC	Parti populaire - PPC	333	.7	310	49840
12004	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Duchesne		Larry	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1873	3.8	310	49840
12004	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Ellis		Stephen	Conservative	Conservateur	22701	45.8	310	49840
12004	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Hirtle		Alana	Liberal	Libéral	23929	48.3	310	49840
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Fisher		Darren	Liberal	Libéral	40356	67.6	0	59659
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Lindsay		Michelle	People's Party - PPC	Parti populaire - PPC	759	1.3	0	59659
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Morrison		Keith	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4200	7	0	59659
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Obeid		Isabelle	Conservative	Conservateur	13582	22.8	0	59659
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Shea		Joseph	Libertarian	Libertarien	131	.2	0	59659
12005	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Zaman		Rana	Green Party	Parti Vert	631	1.1	0	59659
