Constituency,Province / Territory,Honorific Title,First Name,Last Name,Political Affiliation
Parry Sound—Muskoka,Ontario,,Scott,Aitchison,Conservative
Peace River—Westlock,Alberta,,Arnold,Viersen,Conservative
Perth—Wellington,Ontario,,John,Nater,Conservative
Peterborough,Ontario,,Emma,Harrison,Liberal
Pickering—Brooklin,Ontario,,Juanita,Nathan,Liberal
Pierre-Boucher—Les Patriotes—Verchères,Quebec,,Xavier,Barsalou-Duval,Bloc Québécois
Pierrefonds—Dollard,Quebec,,Sameer,Zuberi,Liberal
Pitt Meadows—Maple Ridge,British Columbia,,Marc,Dalton,Conservative
Ponoka—Didsbury,Alberta,,Blaine,Calkins,Conservative
Pontiac—Kitigan Zibi,Quebec,,Sophie,Chatel,Liberal
Port Moody—Coquitlam,British Columbia,,Zoe,Royer,Liberal
Portage—Lisgar,Manitoba,,Branden,Leslie,Conservative
Portneuf—Jacques-Cartier,Quebec,,Joël,Godin,Conservative
Prescott—Russell—Cumberland,Ontario,,Giovanna,Mingarelli,Liberal
Prince Albert,Saskatchewan,,Randy,Hoback,Conservative
Prince George—Peace River—Northern Rockies,British Columbia,,Bob,Zimmer,Conservative
Provencher,Manitoba,,Ted,Falk,Conservative
Québec Centre,Quebec,Hon.,Jean-Yves,Duclos,Liberal
Red Deer,Alberta,,Burton,Bailey,Conservative
Regina—Lewvan,Saskatchewan,,Warren,Steinley,Conservative
Regina—Qu'Appelle,Saskatchewan,Hon.,Andrew,Scheer,Conservative
Regina—Wascana,Saskatchewan,,Michael,Kram,Conservative
Repentigny,Quebec,,Patrick,Bonin,Bloc Québécois
Richmond Centre—Marpole,British Columbia,,Chak,Au,Conservative
Richmond East—Steveston,British Columbia,,Parm,Bains,Liberal
Richmond Hill South,Ontario,,Vincent,Ho,Conservative
Richmond—Arthabaska,Quebec,,Eric,Lefebvre,Conservative
Riding Mountain,Manitoba,,Dan,Mazier,Conservative
Rimouski—La Matapédia,Quebec,,Maxime,Blanchette-Joncas,Bloc Québécois
Rivière-des-Mille-Îles,Quebec,,Linda,Lapointe,Liberal
Rivière-du-Nord,Quebec,,Rhéal Éloi,Fortin,Bloc Québécois
Rosemont—La Petite-Patrie,Quebec,,Alexandre,Boulerice,NDP
Saanich—Gulf Islands,British Columbia,,Elizabeth,May,Green Party
Sackville—Bedford—Preston,Nova Scotia,,Braedon,Clark,Liberal
Saint John—Kennebecasis,New Brunswick,Hon.,Wayne,Long,Liberal
Saint John—St. Croix,New Brunswick,,John,Williamson,Conservative
Saint-Hyacinthe—Bagot—Acton,Quebec,,Simon-Pierre,Savard-Tremblay,Bloc Québécois
Saint-Jean,Quebec,,Christine,Normandin,Bloc Québécois
Saint-Laurent,Quebec,,Emmanuella,Lambropoulos,Liberal
Saint-Léonard—Saint-Michel,Quebec,,Patricia,Lattanzio,Liberal
Saint-Maurice—Champlain,Quebec,Hon.,François-Philippe,Champagne,Liberal
Sarnia—Lambton—Bkejwanong,Ontario,,Marilyn,Gladu,Conservative
Saskatoon South,Saskatchewan,,Kevin,Waugh,Conservative
Saskatoon West,Saskatchewan,,Brad,Redekopp,Conservative
Saskatoon—University,Saskatchewan,,Corey,Tochor,Conservative
Sault Ste. Marie—Algoma,Ontario,,Terry,Sheehan,Liberal
Scarborough Centre—Don Valley East,Ontario,,Salma,Zahid,Liberal
Scarborough North,Ontario,,Shaun,Chen,Liberal
Scarborough Southwest,Ontario,Hon.,Bill,Blair,Liberal
Scarborough—Agincourt,Ontario,,Jean,Yip,Liberal
Scarborough—Guildwood—Rouge Park,Ontario,Hon.,Gary,Anandasangaree,Liberal
Scarborough—Woburn,Ontario,,Michael,Coteau,Liberal
Selkirk—Interlake—Eastman,Manitoba,,James,Bezan,Conservative
Shefford,Quebec,,Andréanne,Larouche,Bloc Québécois
Sherbrooke,Quebec,Hon.,Élisabeth,Brière,Liberal
Sherwood Park—Fort Saskatchewan,Alberta,,Garnett,Genuis,Conservative
Simcoe North,Ontario,,Adam,Chambers,Conservative
Simcoe—Grey,Ontario,,Terry,Dowdall,Conservative
Similkameen—South Okanagan—West Kootenay,British Columbia,,Helena,Konanz,Conservative
Skeena—Bulkley Valley,British Columbia,,Ellis,Ross,Conservative
Souris—Moose Mountain,Saskatchewan,,Steven,Bonk,Conservative
South Shore—St. Margarets,Nova Scotia,,Jessica,Fancy,Liberal
South Surrey—White Rock,British Columbia,,Ernie,Klassen,Liberal
Spadina—Harbourfront,Ontario,,Chi,Nguyen,Liberal
St. Albert—Sturgeon River,Alberta,,Michael,Cooper,Conservative
St. Boniface—St. Vital,Manitoba,,Ginette,Lavack,Liberal
St. Catharines,Ontario,,Chris,Bittle,Liberal
St. John's East,Newfoundland and Labrador,Hon.,Joanne,Thompson,Liberal
Stormont—Dundas—Glengarry,Ontario,,Eric,Duncan,Conservative
Sudbury,Ontario,,Viviane,Lapointe,Liberal
Sudbury East—Manitoulin—Nickel Belt,Ontario,,Jim,Bélanger,Conservative
Surrey Centre,British Columbia,Hon.,Randeep,Sarai,Liberal
Surrey Newton,British Columbia,,Sukh,Dhaliwal,Liberal
Swift Current—Grasslands—Kindersley,Saskatchewan,,Jeremy,Patzer,Conservative
Sydney—Glace Bay,Nova Scotia,,Mike,Kelloway,Liberal
Taiaiako'n—Parkdale—High Park,Ontario,,Karim,Bardeesy,Liberal
Terra Nova—The Peninsulas,Newfoundland and Labrador,,Jonathan,Rowe,Conservative
Terrebonne,Quebec,,Tatiana,Auguste,Liberal
Thérèse-De Blainville,Quebec,,Madeleine,Chenette,Liberal
Thornhill,Ontario,,Melissa,Lantsman,Conservative
Thunder Bay—Rainy River,Ontario,,Marcus,Powlowski,Liberal
Thunder Bay—Superior North,Ontario,Hon.,Patty,Hajdu,Liberal
Tobique—Mactaquac,New Brunswick,,Richard,Bragdon,Conservative
Toronto Centre,Ontario,Hon.,Evan,Solomon,Liberal
Toronto—Danforth,Ontario,Hon.,Julie,Dabrusin,Liberal
Toronto—St. Paul's,Ontario,,Leslie,Church,Liberal
Trois-Rivières,Quebec,,Caroline,Desrochers,Liberal
University—Rosedale,Ontario,Hon.,Chrystia,Freeland,Liberal
Vancouver Centre,British Columbia,Hon.,Hedy,Fry,Liberal
Vancouver East,British Columbia,,Jenny,Kwan,NDP
Vancouver Fraserview—South Burnaby,British Columbia,Hon.,Gregor,Robertson,Liberal
Vancouver Granville,British Columbia,,Taleeb,Noormohamed,Liberal
Vancouver Kingsway,British Columbia,,Don,Davies,NDP
Vancouver Quadra,British Columbia,,Wade,Grant,Liberal
Vaudreuil,Quebec,,Peter,Schiefke,Liberal
Vaughan—Woodbridge,Ontario,,Michael,Guglielmin,Conservative
Vernon—Lake Country—Monashee,British Columbia,,Scott,Anderson,Conservative
Victoria,British Columbia,,Will,Greaves,Liberal
Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Hon.,Marc,Miller,Liberal
Vimy,Quebec,,Annie,Koutrakis,Liberal
Waterloo,Ontario,Hon.,Bardish,Chagger,Liberal
Wellington—Halton Hills North,Ontario,Hon.,Michael,Chong,Conservative
West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,,Patrick,Weiler,Liberal
Whitby,Ontario,,Ryan,Turnbull,Liberal
Willowdale,Ontario,Hon.,Ali,Ehsassi,Liberal
Windsor West,Ontario,,Harb,Gill,Conservative
Windsor—Tecumseh—Lakeshore,Ontario,,Kathy,Borrelli,Conservative
Winnipeg Centre,Manitoba,,Leah,Gazan,NDP
Winnipeg North,Manitoba,Hon.,Kevin,Lamoureux,Liberal
Winnipeg South,Manitoba,Hon.,Terry,Duguid,Liberal
Winnipeg South Centre,Manitoba,,Ben,Carr,Liberal
Winnipeg West,Manitoba,,Doug,Eyolfson,Liberal
Yellowhead,Alberta,,William,Stevenson,Conservative
York Centre,Ontario,,Roman,Baber,Conservative
York South—Weston—Etobicoke,Ontario,Hon.,Ahmed,Hussen,Liberal
York—Durham,Ontario,,Jacob,Mantle,Conservative
Yorkton—Melville,Saskatchewan,,Cathay,Wagantall,Conservative
Yukon,Yukon,,Brendan,Hanley,Liberal
